,strategy_id,strategy_name,assigned_color,deterministic,Niceness,Retaliation,Forgiveness,OverallCoop,AvgPayoff
77,78,HardProber,#00fbff,1,0.0,0.5535887377913246,0.7609130870000435,0.4054539473684211,2.3773947368421053
78,79,HardTitFor2Tats,#00f2ff,1,1.0,0.2554372066667927,0.0,0.866045112781955,2.627169172932331
79,80,HardTitForTat,#00e8ff,1,1.0,1.0,0.0,0.6777067669172933,2.6061466165413534
80,81,InversePunisher,#00deff,1,1.0,1.0,0.1438850349379107,0.6924407894736843,2.69698590225564
81,82,LevelPunisher,#00d4ff,1,1.0,0.1396869268717024,0.0203751088850174,0.7548571428571428,2.719459586466165
82,83,LimitedRetaliate,#00caff,1,1.0,1.0,0.0254254594727885,0.6783759398496241,2.65743515037594
83,84,LimitedRetaliate2,#00c0ff,1,1.0,1.0,0.030489861063503,0.6795667293233082,2.661933270676692
84,85,LimitedRetaliate3,#00b6ff,1,1.0,1.0,0.0391489880553125,0.6792067669172932,2.6590103383458645
85,86,MEM2,#00acff,1,1.0,0.9128205128205128,0.2998836577033724,0.6399144736842105,2.831077067669173
86,87,MathConstantHunter,#00a2ff,1,1.0,0.2428371777151501,0.1042123478194276,0.7080949248120301,2.6782537593984963
87,88,MetaHunter,#0098ff,1,1.0,0.2804261532786257,0.146614838690354,0.6100817669172932,2.7624511278195487
88,89,MetaHunterAggressive,#008eff,1,1.0,0.2685723531657975,0.1244051685111035,0.0349445488721804,1.970515977443609
89,90,NTitsForMTats,#0084ff,1,1.0,0.2569210190425153,0.0416666666666666,0.8417678571428571,2.6315357142857145
90,91,OmegaTFT,#007aff,1,1.0,0.92996336996337,0.7016123917582573,0.7911738721804512,2.927364661654136
91,92,OnceBitten,#0070ff,1,1.0,0.2654306976043501,0.0055658627087198,0.8349821428571428,2.678936090225564
92,93,OppositeGrudger,#0066ff,1,0.0,0.0,1.0,0.9002302631578946,2.1174520676691726
93,94,OriginalGradual,#005cff,1,1.0,0.7647443487057334,0.4900630092294296,0.8226926691729323,2.9123853383458647
94,95,Pi,#0052ff,1,1.0,0.0,,0.8056033834586467,1.870177631578948
95,96,Predator,#0048ff,1,1.0,1.0,0.2497580433789463,0.0784342105263157,1.9086560150375944
96,97,Prober,#003eff,1,0.0,0.5550919364818326,0.7714285714285715,0.3792453007518796,2.197440789473684
97,98,Prober2,#0034ff,1,0.0,0.5215876932662887,1.0,0.7072744360902256,2.3215657894736843
98,99,Prober3,#002aff,1,0.0,1.0,0.7204301075268817,0.2692481203007518,2.1623543233082705
99,100,Prober4,#0020ff,1,1.0,0.6776977385169635,0.3775135162283314,0.2190065789473684,2.1838853383458643
100,101,Pun1,#0016ff,1,0.0,0.8806245443879888,1.0,0.7623167293233082,2.0405093984962406
101,102,Punisher,#010dff,1,1.0,1.0,0.0366178813771067,0.6864887218045113,2.614306390977444
102,103,Raider,#0407ff,1,0.0,0.4737850658065446,0.6746823069403715,0.3884605263157895,2.336834586466165
103,104,RandomHunter,#0700ff,1,1.0,0.0178675205570312,0.075,0.953561090225564,2.392433270676692
104,105,Resurrection,#1100ff,1,1.0,1.0,0.949561403508772,0.8177058270676691,2.720984022556391
105,106,Retaliate,#1b00ff,1,1.0,1.0,0.0239231972061855,0.6700958646616542,2.655313909774436
106,107,Retaliate2,#2500ff,1,1.0,1.0,0.0248015087000458,0.6781522556390978,2.6607490601503763
107,108,Retaliate3,#2f00ff,1,1.0,1.0,0.0078025156629807,0.6542030075187969,2.664270676691729
108,109,RevisedDowning,#3900ff,1,1.0,0.3752789161406395,0.2775055141990626,0.7847199248120301,2.80437030075188
109,110,Ripoff,#4300ff,1,0.0,0.6302128439938511,1.0,0.5636400375939848,2.3602396616541355
110,111,SecondByBorufsen,#4d00ff,1,1.0,0.9354069725020174,0.9006406165171547,0.855781015037594,2.818303571428572
111,112,SecondByColbert,#5700ff,1,1.0,0.4392573760600421,0.3824644965731622,0.8094304511278195,2.3026212406015034
112,113,SecondByGladstein,#6100ff,1,0.0,0.6039127188224107,1.0,0.5693214285714285,2.381484962406015
113,114,SecondByGraaskampKatzen,#6b00ff,1,1.0,1.0,0.6652969803087049,0.7100244360902256,2.851207706766917
114,115,SecondByGrofman,#7500ff,1,1.0,0.4366937076363434,0.4448067321263059,0.8040582706766917,2.753071428571429
115,116,SecondByMikkelson,#7f00ff,1,1.0,0.2650037620242063,0.3284570091644268,0.8237894736842105,2.7205028195488725
116,117,SecondByRichardHufford,#8800ff,1,1.0,0.5480938995539185,0.6417113331072288,0.517859962406015,2.64440507518797
117,118,SecondByRowsam,#9200ff,1,1.0,0.2758211027601857,0.4289826725896801,0.7359201127819549,2.854934210526316
118,119,SecondByTester,#9c00ff,1,0.0,0.6051947701044622,1.0,0.5693430451127819,2.3815347744360897
119,120,SecondByTidemanAndChieruzzi,#a600ff,1,1.0,0.8563735887646776,0.6355523924889481,0.8297678571428572,2.724650375939849
120,121,SecondByWeiner,#b000ff,1,1.0,0.898219170387845,0.7467705712319064,0.8350958646616541,2.7948233082706766
121,122,SecondByWhite,#ba00ff,1,1.0,0.3387336977552114,1.0,0.8519107142857143,2.718831766917293
